_id,_num,_masterVoiceId,_masterCharacterId,_systemVoiceType,_value,_textJa,_textEn,_masterReleaseLabelId
1,1,40001001,1001,0,0,My family sells manju out 的 our house♪ 曜 should come over 與 check it out sometime!,,1
1,2,40001002,1001,1,0,This outfit's super easy 至 move 於!,,1
1,3,40001003,1001,0,0,U-Umm，just between you 與 me..。I really don't like bell peppers...,,1
1,4,40001004,1001,1,0,I'll share my heart 與 soul 與 everyone♪,,1
1,5,40001005,1001,0,0,I'm actually pretty lucky，you know?。..But 希 might be even luckier...,,1
1,6,40001006,1001,1,0,Alright，let's keep moving forward!,,1
1,7,40001007,1001,2,0,I hope my smile will be able 至 reach everyone.,,1
1,8,40001008,1001,3,0,I wanna practice more so that I can become splendid 學園偶像♪,,1
1,9,40001009,1001,4,0,I wonder what I can do 至 make all 的 our fans happy...,,1
1,10,40001010,1001,5,0,This outfit looks super idol-like！Well，I'm already 學園偶像，so...,,1
1,11,40001011,1001,6,0,I feel like I've grown lot as 學園偶像...與 it's all thanks 至 you♪,,1
1,12,40001012,1001,7,0,I need 至 stay true 至 myself。I don't want 至 end up lying 至 you.,,1
1,13,40001013,1001,8,0,I've been thinking about you 為 while now..。How do I properly convey these feelings?,,1
1,14,40001014,1001,9,0,As long as you're 與 me，I feel like I can do anything！It's time 為 me 至 spread my wings 與 fly♪,,1
1,15,40001015,1001,10,0,Even though you've done so much 為 me already...I hope you never leave me...,,1
1,16,40001016,1001,11,0,Alright，let's do our best out there!,,1
1,17,40001017,1001,12,0,Alright everyone，let's sing together!,,1
1,18,40001018,1001,13,0,Good work out there!!!,,1
1,19,40001019,1001,14,0,Morning！Let's do our best today!,,1
1,20,40001020,1001,15,0,How are you feeling？Make sure not 至 push yourself too hard.,,1
1,21,40001021,1001,16,0,Are you feeling exhausted？Don't worry，I'll give you massage!,,1
1,22,40001022,1001,17,0,I had great time today！Good night!,,1
1,23,40001023,1001,19,0,*yawn* Ah...spring always makes me feel sleepy.,,1
1,24,40001024,1001,20,0,Practicing 於 heat can be really hard，huh?,,1
1,25,40001025,1001,21,0,Autumn food is always so delicious.,,1
1,26,40001026,1001,22,0,It's been getting cold lately。Are you making sure 至 keep warm?,,1
1,27,40001027,1001,18,0,Don't worry，穗乃果 will support you!,,1
1,28,40001028,1001,18,0,Did you call?,,1
