_id,_textJa,_textEn,_masterReleaseLabelId
Common_Dash,-,-,1
Common_Comma,",",",,",1
Common_Amount,{0}×{1},{0} x {1},1
Common_IconAmount,×{0},× {0},1
Common_IconAmountOverLimit,x{0}+,x {0}+,1
Common_ItemHasAmount,No。Held: {0},Number 的 possession: {0},1
Common_ItemGetAmount,{0},{0},1
Common_PossessionNumber,Hold,number 的 possession,1
Common_Possession,Held,Possession,1
Common_Lack,Not Enough,Shortage,1
Common_Gem,愛心寶石,Labka,1
Common_KizunaPoint,Bond,Kizuna,1
Common_ChargeGem,愛心寶石 (Paid),Loveka (paid),1
Common_Point_Coin,Gold,gold,1
Common_Point_Seal,招募 Points,Solicitation point,1
Common_Point_LiveStamp,(Dummy) 演唱會 Sticker,(Dummy) 演唱會 stamp,1
Common_NormalColor,<color=#494949>{0}</color>,<color =#494949> {0} </color>,1
Common_RedText,<color=#C70F01>{0}</color>,<color =#c70f01> {0} </color>,1
Common_GreenText,<color=#00B985>{0}</color>,<color =#00b985> {0} </color>,1
Common_WhiteText,<color=#F5FFFF>{0}</color>,<color =#f5fffff> {0} </color>,1
Common_BlackText,<color=#191919>{0}</color>,<color =#191919> {0} </color>,1
Common_GrayText,<color=#4B413C>{0}</color>,<color =#4b413c> {0} </color>,1
Common_BlueText,<color=#0064AA>{0}</color>,<color =#0064aa> {0} </color>,1
Common_NavyBlueText,<color=#216EA4>{0}</color>,<color =#216ea4> {0} </color>,1
Common_YellowText,<color=#D6AF53>{0}</color>,<color =#d6af53> {0} </color>,1
Common_OrangeText,<color=#EA9C03>{0}</color>,<color =#EA9C03> {0} </color>,1
Common_PinkText,<color=#F93981>{0}</color>,<color =#f93981> {0} </color>,1
Common_LightPinkText,<color=#FF94BC>{0}</color>,<color =#ff94bc> {0} </color>,1
Common_PositiveGlow,"<font=""FOT-TsukuGoPr5-M SDF"" material=""FOT-TsukuGoPr5-M SDF PositiveGlow"">{0}</font>",<font = 'fot-tsukugopr5-m SDF' Material = 'fot-tsukugopr5-m SDF positiveGlow'> {0} </font>,1
Common_OwnedAndCostAmount,{0}/{1},{0}/{1},1
Common_Rank,Rank,Rank,1
Common_PlayerRank,Player Rank,Player rank,1
Common_GroupRank,Group Rank,Glue plank,1
Common_GroupRankWithGroupName,{0} Rank,{0} rank,1
Common_ExpToNextRankLabel,下一步:,After,1
Common_ExpMax,MAX,MAX,1
Common_Exp,EXP,EXP,1
Common_Level,等級,等級,1
Common_MusicLevel,歌曲 等級,歌曲 等級,1
Common_OrderBy,Asc.,ascending order,1
Common_OrderByDescending,Desc.,descending order,1
Common_Day,{0} Days,{0} day,1
Common_Month,{0} Months,{0} Month,1
Common_Year,{0} Years,{0} year,1
Common_Hour,{0} Hours,{0} time,1
Common_Minute,{0} Minutes,{0} minutes,1
Common_Second,{0} Seconds,{0} seconds,1
Common_ExpireDateUntil,{0},{0},1
Common_Until,Until,至,1
Common_ExpireDateFew,Ending soon!,Slight!,1
Common_ExpireDateRemaining,Remaining,rest,1
Common_ExpireDateInfinity,No Limit,Indefinite 期間,1
Common_ExpireDateExpired,Ended,Expired,1
Common_Period,{0} - {1},{0} 至 {1},1
Common_Remaining,Remaining,rest,1
